"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500"
"71",1,4,17,10,8,2,6,5,0,18,2,1,1,5,13,5,1,2,5,0,3,2,1,4,0,17,4,2,0,3,2,1,0,4,5,3,14,7,3,4,9,4,1,3,8,11,9,20,2,13,9,14,0,2,2,1,1,0,22,1,3,4,16,0,6,27,5,17,3,4,1,4,3,3,0,6,2,3,22,2,1,2,10,15,4,6,2,1,1,1,1,21,6,5,19,4,32,2,2,14,0,1,0,0,4,2,7,5,12,5,3,0,0,4,5,6,10,2,1,5,1,0,8,0,1,1,3,3,2,4,5,4,3,0,3,0,2,1,1,25,22,3,12,2,0,1,20,13,1,1,4,1,3,7,1,28,2,5,11,5,5,5,0,1,1,12,1,2,5,3,2,1,1,1,3,3,4,2,2,0,13,5,4,1,3,2,23,0,17,4,2,3,2,1,1,3,2,3,3,2,35,1,1,10,3,5,14,4,3,4,2,3,6,5,3,4,1,4,1,10,7,1,20,2,5,3,12,6,3,3,1,6,2,2,2,2,3,10,5,1,11,1,3,1,5,1,3,3,5,5,2,17,13,9,4,4,3,2,7,2,13,1,4,12,6,7,4,3,5,4,16,4,19,6,2,6,18,2,5,0,1,2,1,4,1,8,5,3,4,4,16,0,6,4,2,17,2,2,2,2,6,17,4,4,12,15,2,0,9,1,2,11,9,2,0,1,8,3,0,0,6,0,6,34,19,2,4,2,2,7,1,9,2,6,6,3,2,1,0,1,5,1,12,1,9,5,11,3,4,4,4,13,1,3,1,1,4,10,0,2,19,5,0,11,3,2,2,1,12,6,3,5,12,9,1,6,4,2,6,4,4,4,2,5,17,17,11,10,2,5,0,14,25,7,2,14,3,3,8,3,5,18,11,0,14,4,20,4,6,22,1,3,2,12,10,2,5,0,3,6,2,8,3,8,1,14,1,3,7,1,10,6,1,0,10,29,9,0,8,5,14,16,1,8,1,0,1,4,0,6,3,2,4,15,9,3,1,3,3,1,2,3,6,6,15,3,1,14,13,8,3,4,0,1,3,5,7,7,7,2,2,3,1,4,6,1,1,13,2,26,4,5,4,9,2,2,5,3,5,3
"72",2,0,27,4,13,3,3,3,1,26,1,1,2,2,14,3,1,2,6,2,3,3,4,3,2,14,2,1,0,4,4,2,4,6,6,2,16,8,4,3,8,2,2,4,8,10,16,31,3,13,16,10,0,4,2,2,2,2,40,4,9,1,23,2,3,30,5,8,4,4,3,2,1,3,0,0,5,1,28,1,3,2,9,10,0,5,5,4,2,0,0,26,0,8,18,4,33,3,1,12,3,1,2,1,3,2,5,9,11,4,3,1,2,0,3,5,26,5,2,4,1,1,20,0,3,1,1,1,1,2,15,0,5,1,3,2,6,2,0,33,31,7,20,0,3,0,17,19,4,0,5,3,2,7,2,21,4,7,10,2,3,7,3,1,2,12,2,0,1,2,1,4,2,1,0,2,4,5,2,2,17,1,9,1,2,1,26,1,29,1,2,14,0,0,1,1,2,3,1,2,39,0,1,8,4,5,8,2,4,3,4,2,6,6,2,1,3,4,0,6,8,2,28,0,7,4,16,4,2,1,4,8,1,0,0,4,3,10,3,1,16,3,1,6,0,0,5,1,4,12,4,14,8,9,3,6,1,2,6,1,21,2,0,13,5,7,7,4,7,2,15,6,21,7,1,3,9,2,6,1,3,1,0,2,2,13,0,2,0,6,16,2,3,3,3,8,2,1,1,2,4,19,3,0,8,11,1,3,10,5,1,5,13,4,0,3,14,6,0,3,10,2,3,31,42,1,3,2,1,7,2,5,1,5,13,4,0,1,0,2,9,0,13,0,16,4,11,0,1,5,2,7,3,1,1,2,0,10,0,5,20,3,2,15,2,1,1,2,7,5,5,4,9,15,2,0,1,1,9,3,0,0,2,6,19,21,13,6,2,4,1,23,45,12,5,10,1,7,5,1,4,20,14,0,12,3,15,7,7,18,0,4,6,13,11,1,9,1,2,2,3,11,1,15,6,19,1,3,4,2,13,7,5,0,14,23,12,2,5,1,17,14,2,9,0,0,5,4,4,5,2,2,3,9,3,3,2,1,1,5,4,4,1,7,10,7,3,13,21,13,5,4,0,1,0,1,6,7,8,5,1,0,3,3,4,1,1,11,0,37,2,2,4,6,1,4,5,2,7,2
"73",2,5,10,5,3,2,4,3,1,4,2,6,3,4,4,1,3,1,8,0,2,7,4,2,2,7,3,3,3,3,6,2,2,4,3,3,6,7,1,3,7,3,2,2,8,3,1,11,0,4,4,3,1,3,1,2,0,2,8,2,4,1,13,2,2,6,2,10,2,2,5,7,1,2,1,2,1,1,13,1,4,3,4,2,3,2,2,6,0,6,1,8,2,3,5,4,12,0,3,3,3,2,3,3,5,8,3,7,4,7,2,2,1,1,5,7,4,3,4,5,2,4,6,0,3,3,2,4,4,4,10,3,6,0,0,4,1,3,0,10,16,4,4,5,1,2,9,4,1,1,3,3,3,6,0,16,4,3,7,4,4,2,1,1,3,9,3,1,3,6,2,2,0,1,0,3,2,5,3,0,5,4,3,3,2,2,8,1,12,2,1,7,7,2,2,4,1,7,0,1,10,1,2,6,1,3,7,6,2,2,4,3,5,3,2,1,2,6,1,4,2,1,11,3,4,1,4,6,1,0,0,3,1,3,1,6,1,4,3,2,3,4,5,1,3,2,3,5,5,1,4,6,9,2,2,2,1,4,6,3,7,0,2,4,2,6,4,6,3,5,5,2,7,2,0,6,4,3,2,2,3,0,5,4,1,5,6,3,1,5,4,3,5,2,3,4,2,1,0,3,3,10,5,0,5,12,2,5,6,5,1,1,5,4,2,1,3,7,0,2,2,3,4,9,12,2,6,1,0,5,0,2,0,6,4,3,0,1,2,1,1,3,3,1,6,1,7,1,2,2,6,3,2,1,0,3,2,7,1,3,9,4,2,11,2,1,2,2,4,6,1,2,8,5,1,1,5,1,5,2,1,1,2,3,10,12,12,2,2,2,2,9,17,11,3,8,5,4,1,1,5,9,5,3,14,3,4,7,0,6,2,3,4,4,3,2,1,1,0,2,2,2,5,4,3,11,5,0,3,1,4,5,2,0,7,8,8,3,2,0,5,8,3,3,2,2,1,2,3,2,1,6,4,4,4,0,2,3,5,1,1,3,4,1,8,2,2,4,6,2,5,1,1,2,3,0,4,2,9,1,1,2,3,3,2,0,0,3,2,9,0,6,1,2,1,2,5,5,1,1
"74",3,15,3,9,2,3,7,7,2,5,4,23,1,1,4,5,7,0,19,0,2,11,6,4,0,20,21,1,5,2,10,7,4,6,17,5,2,2,2,14,5,3,3,10,39,2,1,1,3,2,6,2,9,1,3,2,1,19,3,0,0,1,4,6,1,3,4,4,17,9,5,7,8,6,2,4,7,9,3,0,7,21,3,2,0,6,25,9,0,2,1,10,12,21,4,14,4,2,5,2,3,1,1,4,8,20,1,2,20,4,9,3,1,1,5,7,0,13,0,3,8,4,0,0,3,14,4,2,6,4,1,0,2,0,4,1,16,10,1,4,1,12,3,1,3,14,5,1,1,3,3,0,3,2,3,1,3,10,1,2,3,4,4,1,3,3,1,3,8,22,2,4,0,5,2,5,2,4,0,3,0,1,0,0,4,5,1,1,8,1,11,1,1,14,0,5,1,6,7,7,5,2,24,7,1,16,0,6,2,9,8,4,2,24,1,1,0,12,1,0,15,16,5,0,15,30,2,26,2,9,16,0,0,4,1,13,0,1,12,3,0,3,14,6,29,0,8,3,2,0,2,1,4,7,3,3,0,13,0,4,5,2,3,0,38,5,2,2,13,11,2,2,8,1,3,38,3,3,6,3,0,3,4,1,7,2,5,2,9,5,14,2,3,1,13,1,0,1,4,6,3,3,1,15,8,13,5,4,4,4,1,5,2,3,2,2,11,1,4,7,5,2,11,15,3,3,2,1,1,3,0,2,0,4,5,2,15,4,0,0,2,6,3,1,1,3,1,10,1,14,5,4,4,5,1,3,1,1,1,3,4,5,3,2,5,8,1,3,3,4,11,4,15,4,2,20,2,4,9,5,6,9,1,2,1,7,1,5,0,3,6,5,3,1,1,0,12,5,4,12,2,3,0,1,2,15,3,4,1,7,5,3,1,6,21,0,6,7,6,1,3,0,1,6,2,2,6,3,4,5,1,1,2,0,0,2,3,2,1,3,0,1,2,1,1,3,2,3,4,6,1,0,15,0,6,4,1,1,4,2,9,10,2,1,4,2,1,5,10,0,18,4,3,3,2,6,3,1,5,1,0,2,2,3,2,0,0,6,2,3,3,4,5,1,1,3,1,5,34,14
"75",1,5,3,6,1,2,7,4,5,3,3,10,2,1,3,3,2,4,13,3,2,8,1,4,0,10,5,1,1,2,3,8,3,6,11,0,3,0,6,8,4,6,1,6,11,4,3,0,0,1,4,4,3,4,1,3,3,11,4,2,3,1,4,9,0,3,3,3,11,7,1,1,3,3,0,1,4,6,4,0,5,6,0,2,1,5,14,6,2,4,1,8,8,15,1,9,5,3,8,1,5,2,1,3,7,7,0,3,3,2,5,3,0,1,5,2,5,9,4,1,6,5,4,0,4,10,1,3,8,3,4,1,2,3,1,0,7,7,0,6,6,4,2,2,2,3,6,3,3,1,0,0,3,1,4,4,7,6,1,2,5,3,2,1,0,0,1,1,4,14,3,1,2,1,0,3,5,1,3,0,0,3,1,1,1,1,4,0,1,0,2,1,1,10,3,5,2,8,4,3,0,0,3,6,1,8,0,3,2,3,3,3,4,14,1,3,0,5,5,1,5,3,3,1,5,12,0,11,3,1,6,1,1,4,3,3,3,4,7,3,3,4,9,7,14,1,3,1,1,0,0,1,4,4,4,5,2,4,1,0,2,2,1,1,11,1,2,2,12,5,3,2,10,2,3,15,1,5,1,3,1,2,3,5,1,2,4,2,4,5,2,1,1,2,5,0,4,3,1,2,0,2,2,5,4,9,9,3,5,2,0,4,2,4,1,1,9,1,3,2,4,5,11,6,0,3,7,1,3,1,2,1,3,1,6,1,6,1,1,2,1,4,3,3,1,6,3,6,2,1,6,1,6,3,0,4,4,1,0,1,1,5,3,5,4,2,1,2,6,2,5,4,2,2,4,4,2,3,5,6,0,2,4,3,4,7,3,3,3,0,3,2,6,3,6,2,10,3,4,4,3,2,2,2,5,5,0,4,1,4,2,4,3,2,3,2,4,5,8,2,1,0,1,5,1,2,6,1,4,4,1,3,3,2,1,5,4,1,0,2,2,4,2,0,2,2,0,2,2,3,1,2,6,2,4,1,1,1,2,2,4,10,3,2,5,0,3,2,3,0,6,6,2,0,3,4,1,2,2,3,2,2,2,5,5,0,2,2,6,4,1,3,4,4,1,1,7,1,11,7
"76",1,20,5,11,2,2,5,10,0,7,3,23,4,1,1,3,6,2,17,3,4,9,2,2,0,15,10,3,3,3,9,9,11,2,25,4,3,3,4,19,2,4,1,9,20,0,1,1,3,1,3,3,5,2,1,2,1,11,6,1,1,2,4,10,1,3,3,3,29,7,2,9,11,5,0,3,3,11,3,1,11,18,0,6,5,19,23,5,1,6,0,17,16,29,2,8,1,3,13,3,4,5,2,8,14,17,2,3,8,5,2,10,0,1,12,1,4,12,4,3,9,3,4,5,2,9,4,1,6,4,1,0,1,0,4,2,25,11,0,4,3,9,5,2,0,9,6,3,1,4,5,2,5,3,4,0,7,14,2,7,2,3,6,1,1,1,6,4,12,25,2,0,2,1,2,2,1,1,7,0,0,2,0,1,3,2,1,1,7,1,9,1,4,6,2,6,1,4,1,8,5,2,11,4,0,21,2,8,3,3,12,1,5,28,2,5,1,9,4,3,10,7,1,2,16,29,1,26,5,5,22,3,0,2,3,16,1,4,9,1,0,1,11,11,33,2,5,1,2,1,5,0,4,4,5,1,1,9,2,2,1,0,1,2,37,4,1,6,14,5,3,2,6,1,2,45,3,1,2,0,3,2,3,3,6,3,3,4,10,5,12,2,3,2,6,1,7,1,5,4,1,5,2,13,6,20,7,6,5,3,1,6,3,4,1,4,19,3,3,4,3,8,30,9,2,1,3,2,3,3,2,1,2,3,8,4,18,1,1,1,7,5,1,3,1,6,3,7,2,7,8,0,2,6,3,3,3,5,3,1,0,5,0,6,1,5,1,0,7,2,8,4,10,4,1,14,0,5,7,2,2,8,3,1,2,9,8,6,1,1,11,4,7,1,2,2,11,6,1,10,5,7,2,1,4,11,1,7,1,4,6,5,1,11,18,2,4,8,10,4,1,2,0,5,6,5,3,4,6,5,4,1,3,0,0,4,1,1,1,0,5,1,4,0,3,8,1,2,0,8,1,2,8,3,4,5,1,1,6,5,1,11,3,5,9,2,0,1,14,1,7,4,2,2,1,2,4,0,2,4,1,1,2,7,3,0,0,7,4,5,0,3,3,0,2,1,2,6,21,14
"77",3,10,2,8,3,1,7,0,0,1,5,7,1,2,1,7,5,3,12,2,5,6,2,4,2,11,8,1,2,7,4,9,6,4,11,4,10,6,2,15,5,4,4,7,16,2,1,2,1,2,2,3,2,2,4,3,1,11,5,0,1,1,3,10,0,1,3,4,12,2,1,5,3,3,1,3,3,4,3,3,5,8,0,0,0,8,14,6,1,4,0,11,7,13,2,2,4,3,5,2,1,3,0,3,7,9,1,2,9,2,3,8,3,2,7,3,1,8,5,1,4,3,0,2,1,6,4,1,1,2,4,7,0,2,0,1,13,8,0,2,4,5,2,3,0,11,2,3,4,2,1,0,1,2,0,2,9,4,2,5,5,1,3,0,1,1,3,0,7,5,1,7,5,3,0,5,4,2,2,1,2,6,0,2,3,1,7,1,2,2,4,2,2,8,0,7,5,2,3,3,3,1,10,5,1,11,0,3,1,4,8,1,6,14,0,4,3,2,2,2,10,6,5,0,7,11,0,13,4,8,10,2,1,2,6,10,2,3,1,2,2,7,5,3,20,0,6,3,7,1,2,2,2,2,4,4,1,2,0,2,4,2,2,2,9,6,2,2,7,2,3,3,6,5,3,15,0,5,4,1,2,2,1,6,2,2,0,1,5,4,6,4,1,3,3,0,5,0,1,3,0,4,4,4,8,13,4,4,2,3,2,4,2,1,0,2,8,4,3,0,4,2,14,6,1,3,3,1,3,2,2,0,2,3,12,3,5,1,0,0,4,5,2,1,0,5,2,10,1,7,7,2,1,2,2,2,1,1,1,2,1,2,1,2,4,7,1,1,6,2,5,4,7,2,1,9,2,1,2,2,4,8,0,0,4,6,2,8,4,2,5,4,6,5,4,4,10,6,4,5,4,3,1,1,7,9,0,7,1,4,2,3,1,4,7,0,3,3,7,2,0,1,3,9,1,3,3,3,3,2,3,0,4,0,0,7,5,1,0,1,0,2,5,1,2,7,1,5,4,5,1,0,10,1,9,1,1,0,1,2,3,6,0,7,9,1,1,2,3,1,5,3,1,1,4,1,2,2,5,2,0,1,1,1,2,0,2,4,2,2,2,2,3,4,2,2,4,6,12,6
"78",3,20,6,23,5,3,8,10,1,6,1,40,3,0,0,0,15,4,44,5,4,15,2,4,0,32,26,2,5,1,15,27,18,3,49,5,1,5,1,47,7,8,5,15,64,7,1,3,1,2,1,1,13,3,1,0,1,24,3,1,2,3,5,13,2,4,2,2,35,3,5,5,25,4,1,2,0,15,7,5,19,30,1,1,2,17,40,6,1,6,0,19,15,68,2,14,6,2,25,2,7,4,0,22,24,40,2,4,28,1,12,19,0,0,11,5,1,20,5,2,18,6,3,1,5,19,3,4,5,3,1,3,3,1,5,0,34,18,0,4,5,23,1,0,1,24,5,1,2,4,0,5,4,2,0,0,10,18,1,9,5,3,4,2,1,0,4,4,19,36,3,2,0,10,1,2,0,4,4,0,5,2,1,2,3,4,1,0,5,3,14,3,3,25,1,5,3,5,4,8,4,0,28,3,0,22,0,12,2,19,23,3,3,48,3,1,0,22,3,1,24,30,3,1,28,46,8,41,4,9,35,1,2,2,6,24,2,2,14,4,0,6,23,13,74,0,8,2,4,0,3,1,3,13,7,5,0,20,1,1,3,1,2,5,70,3,1,4,19,15,1,4,8,2,4,64,5,2,3,0,0,1,2,2,14,4,4,3,19,3,12,10,1,2,18,1,2,1,6,17,2,2,1,18,24,37,12,12,4,3,0,2,3,5,0,3,42,2,3,9,8,13,44,15,6,3,1,1,1,11,2,0,3,0,13,1,21,2,0,0,1,11,2,2,0,17,4,22,1,13,6,3,4,5,0,3,3,3,0,3,2,7,0,6,14,10,1,5,17,4,15,2,25,3,0,25,1,10,0,2,7,18,1,5,5,17,2,17,0,3,11,11,4,3,6,3,44,3,3,10,5,1,1,1,3,39,3,0,1,1,19,2,3,7,26,2,4,10,22,3,1,0,1,12,1,3,2,2,10,3,1,1,0,0,2,9,1,3,2,0,3,1,5,1,2,12,1,10,1,14,3,2,23,2,5,6,3,1,7,1,6,18,3,1,22,0,0,2,27,2,13,7,2,0,3,3,3,3,3,2,0,2,6,5,1,3,1,6,7,4,2,13,1,0,1,1,4,14,45,25
"79",4,6,1,5,1,4,6,6,3,2,3,17,0,2,0,4,2,3,12,1,4,5,4,2,1,5,9,6,1,4,4,8,6,6,12,3,2,2,1,13,3,5,0,10,21,3,0,3,2,1,5,1,5,2,0,2,4,11,6,1,5,1,2,4,1,5,2,6,13,9,2,5,6,4,2,2,3,2,1,4,13,8,5,1,0,5,19,2,1,3,2,6,13,18,1,7,4,3,4,2,1,3,3,4,11,7,4,3,3,4,1,4,1,5,3,5,3,9,1,2,4,2,5,1,4,6,4,1,6,5,4,4,1,2,0,1,8,7,0,3,4,8,4,4,1,5,6,4,3,2,0,3,3,0,0,2,8,4,5,5,3,5,3,1,1,9,4,0,4,16,1,0,0,1,2,8,3,2,3,0,3,5,0,3,3,3,1,2,7,2,9,3,0,6,0,6,1,1,4,4,6,1,5,1,3,13,1,13,3,5,5,2,6,19,2,0,2,7,3,0,7,6,1,3,5,14,3,13,5,4,8,2,1,2,3,11,2,3,3,6,1,3,11,5,15,2,3,2,1,7,2,1,8,6,2,4,0,8,1,3,3,1,2,2,25,7,1,2,8,7,2,1,4,1,2,22,2,2,0,1,0,0,0,1,5,1,1,3,9,9,4,6,3,3,5,1,2,2,2,5,2,3,5,7,5,12,7,7,8,3,0,3,1,5,0,2,13,1,5,5,3,5,9,7,3,5,5,1,3,1,3,1,3,2,9,4,7,3,0,2,3,8,2,1,1,6,1,3,2,1,9,1,5,1,2,4,2,4,3,1,4,3,1,1,7,1,1,3,8,1,6,4,9,5,2,10,2,10,4,3,4,3,0,1,2,5,2,2,3,3,9,4,7,1,3,3,10,3,5,5,6,3,1,1,3,16,3,8,1,5,12,1,6,2,11,1,5,3,5,3,2,0,3,7,3,4,7,5,5,2,2,1,2,2,0,3,3,1,1,1,0,0,1,0,3,9,0,4,0,10,1,3,9,0,6,4,0,4,6,5,5,8,1,4,6,2,5,1,14,1,1,5,1,0,3,0,3,0,3,2,0,1,2,2,4,0,1,3,4,4,1,4,4,2,0,1,1,3,17,8
"80",5,5,1,9,0,2,8,9,2,8,5,9,0,2,5,2,3,2,16,3,3,5,1,4,3,12,8,9,0,4,6,14,6,2,21,0,2,2,7,15,2,3,0,7,21,1,2,2,1,1,4,1,5,4,7,3,0,17,4,0,3,4,4,5,0,2,2,2,17,4,4,10,3,4,0,3,3,4,4,3,6,14,2,1,4,6,15,7,1,6,3,8,5,20,3,8,3,0,4,1,2,3,1,3,6,11,5,7,6,5,3,5,2,0,1,3,3,8,2,3,9,6,3,0,1,9,4,1,8,2,3,2,2,3,2,1,13,7,0,4,6,9,4,1,1,6,5,2,3,1,4,3,3,1,0,0,8,6,4,3,3,4,2,0,3,2,5,0,6,18,2,3,1,2,1,5,1,4,0,0,2,5,1,0,1,1,2,1,5,3,3,0,0,7,0,2,0,1,0,5,3,0,10,3,2,18,1,7,5,4,6,4,2,21,1,2,2,8,1,0,13,9,2,5,11,19,2,18,6,5,13,0,0,2,4,8,0,1,6,2,1,3,13,6,26,1,7,2,4,1,7,1,2,4,1,3,0,6,1,2,5,1,2,2,22,1,1,4,5,5,2,2,5,1,4,20,4,3,2,1,3,0,2,3,4,2,2,2,9,6,8,1,1,3,4,3,3,2,1,4,1,6,2,6,2,16,9,3,4,2,1,5,0,2,1,0,5,1,2,2,3,4,14,8,5,4,3,3,1,3,2,1,3,2,7,2,10,2,1,0,3,2,1,2,2,8,1,11,0,9,6,2,3,1,2,0,3,1,5,4,4,4,4,1,8,3,2,4,10,4,6,2,12,4,0,9,4,3,4,4,4,5,2,3,4,8,4,5,1,2,5,10,7,0,2,4,11,11,6,5,2,0,1,1,5,14,3,4,1,5,8,1,0,4,8,3,4,3,8,4,2,0,6,8,0,2,4,4,3,3,1,0,0,1,1,4,2,1,1,0,0,0,5,0,3,5,6,3,2,8,1,2,10,1,5,2,2,2,1,3,7,4,4,4,11,0,6,3,6,1,9,4,0,0,3,3,2,1,4,3,0,0,1,1,2,1,3,2,4,3,1,5,8,4,0,2,2,6,24,17
"81",3,2,2,6,1,1,5,4,2,4,3,11,1,1,2,1,4,2,14,1,4,3,2,4,1,6,3,1,4,5,6,6,4,7,15,4,2,2,0,9,7,3,2,7,14,2,0,0,1,0,1,2,3,1,2,4,2,8,3,1,1,3,4,5,1,0,4,4,9,5,5,8,7,1,1,2,3,6,3,1,5,8,2,5,3,7,18,2,2,2,1,6,7,12,3,8,4,3,1,2,0,6,1,5,1,9,1,5,4,6,13,6,1,2,0,4,4,6,4,1,3,4,2,0,4,5,2,2,2,4,1,1,1,0,2,1,6,4,0,4,3,6,2,1,2,7,2,0,3,4,4,1,3,3,0,3,2,5,0,1,4,2,2,1,2,1,2,2,5,8,1,1,1,1,1,3,8,5,3,0,4,6,2,1,4,0,4,2,1,1,6,3,1,7,0,4,0,3,3,5,4,0,14,5,0,5,3,7,3,6,6,3,4,15,5,1,2,7,1,0,12,7,1,2,6,12,1,7,5,2,9,1,2,3,3,8,6,2,4,0,2,1,5,2,10,0,4,3,2,3,1,0,1,1,3,7,1,9,2,3,4,2,0,3,24,5,1,2,6,5,6,0,7,1,3,15,0,7,3,0,0,0,1,4,1,2,4,1,6,6,9,1,1,2,3,0,1,2,2,3,2,1,3,1,6,6,5,6,4,1,3,2,2,3,2,4,12,2,5,4,0,3,12,8,4,1,4,1,3,0,2,0,4,3,5,2,7,2,1,0,2,5,0,6,3,8,0,4,3,2,4,3,1,4,0,5,5,0,1,5,3,3,0,4,3,1,2,3,7,1,6,3,7,3,3,11,4,4,4,2,1,3,2,2,3,7,3,3,2,4,1,5,3,2,0,1,7,3,5,3,9,5,2,0,3,7,1,3,0,8,7,2,2,5,6,2,2,5,6,2,1,1,1,4,1,4,2,3,5,1,2,1,3,2,0,7,3,3,1,2,0,4,4,2,3,4,1,4,1,7,1,2,6,1,6,5,0,0,3,1,2,6,2,5,5,2,0,1,6,3,9,7,3,2,4,3,4,2,1,2,0,2,0,4,2,1,1,3,2,2,4,6,3,2,0,2,4,6,10,5
"82",9,7,7,6,1,4,3,6,0,1,0,8,0,2,2,2,4,3,10,2,2,5,2,5,1,11,10,5,1,2,3,9,4,6,12,2,3,5,1,12,2,3,2,10,15,2,1,1,1,3,2,1,4,5,4,0,1,10,4,3,1,0,3,5,1,3,1,4,13,1,0,4,3,4,1,3,4,4,5,2,7,8,3,2,2,4,7,9,1,3,3,3,10,8,3,5,3,5,3,2,4,1,0,6,8,5,3,1,9,4,5,4,2,4,7,5,3,6,1,6,1,7,0,1,2,3,3,3,5,3,4,1,2,4,1,1,11,2,0,3,4,8,2,3,0,9,3,5,2,4,2,2,3,1,2,3,2,8,3,1,4,4,4,0,3,2,0,2,4,14,2,5,1,1,1,6,4,8,5,0,5,1,0,1,0,2,2,4,4,1,5,0,0,6,0,4,0,4,1,3,3,1,14,3,2,12,2,4,6,7,5,3,3,19,4,0,0,3,4,1,6,10,2,4,12,15,2,6,4,4,10,0,1,0,2,15,2,2,4,6,2,3,8,4,17,1,2,2,4,1,4,4,0,5,5,7,0,7,2,3,2,1,4,4,22,5,2,2,5,8,2,1,4,5,3,12,2,1,3,0,0,3,3,4,5,2,1,6,5,2,2,4,2,0,4,1,2,3,4,4,2,4,2,4,6,13,7,2,6,4,1,3,5,5,1,2,11,3,4,4,1,5,19,8,2,4,3,0,0,1,2,3,4,0,9,1,5,1,2,0,2,8,3,5,2,2,1,5,1,2,3,3,3,5,4,4,1,1,0,1,2,8,2,4,7,0,2,0,5,2,4,2,8,4,1,8,0,9,3,4,5,1,5,1,4,8,4,5,3,2,9,9,6,0,2,2,10,5,4,4,4,4,0,2,2,7,3,5,0,7,9,3,5,3,3,0,5,4,9,1,1,2,2,3,4,1,2,0,4,2,7,2,2,0,4,5,1,1,1,1,0,3,3,0,1,2,1,7,1,8,2,1,5,2,1,4,2,1,0,2,2,4,0,5,5,3,2,1,3,2,1,0,3,4,3,2,1,0,7,2,2,1,2,3,8,3,1,3,2,3,1,1,0,0,1,6,5,7,18,4
